,Cloudiness,Humidity,Latitude,Temperature,Wind Speed
mareeba,75,70,-16.99,86.0,3.36
neiafu,92,97,-18.65,83.31,17.49
kongolo,12,98,-5.39,69.54,2.28
katsuura,20,70,33.93,42.8,2.24
tiksi,12,69,71.64,-35.86,3.4
richards bay,36,97,-28.77,62.34,3.85
ahraura,0,69,25.02,60.58,4.18
russkiy aktash,90,84,55.04,6.8,15.66
kurilsk,64,100,45.23,22.47,19.73
heihe,8,76,50.24,-11.21,1.95
pisco,0,83,-13.71,73.4,18.34
matara,64,90,-13.74,46.63,2.06
bathsheba,20,83,13.22,75.2,16.11
carauari,12,94,-4.88,75.66,2.51
aykhal,48,67,65.95,-23.57,2.95
srednekolymsk,92,64,67.46,-8.05,6.31
moratuwa,76,88,6.77,73.4,6.93
ankang,92,98,32.73,42.72,2.17
kutum,36,41,14.2,67.65,4.97
lappeenranta,0,70,61.06,-4.01,10.29
broken hill,0,39,-31.97,80.43,12.35
general roca,0,33,-39.03,87.8,2.28
balabac,44,99,7.99,81.69,15.93
siderno,40,80,38.28,46.4,3.36
comodoro rivadavia,0,46,-45.87,71.6,4.7
podosinovets,80,69,60.28,-1.21,8.1
constitucion,75,19,23.99,71.6,17.22
qaqortoq,5,58,60.72,-4.01,2.84
manvi,0,54,16.0,57.61,4.63
kande,20,82,0.3,68.0,9.17
marzuq,0,84,14.4,48.39,2.39
komsomolskiy,64,62,67.55,-13.36,3.74
hillsboro,1,45,39.2,46.62,3.4
palora,48,100,-1.7,61.84,1.95
marfino,20,83,56.07,-7.41,2.24
luanda,75,94,-8.83,77.0,2.24
louis trichardt,76,93,-23.04,61.39,9.44
black river,20,74,18.03,78.8,5.82
purranque,0,76,-40.91,57.2,6.93
tolaga bay,88,68,-38.37,66.12,10.45
puri,20,88,-7.54,78.8,2.24
narsaq,5,58,60.91,-4.01,1.72
iquique,0,64,-20.22,73.4,18.34
mildmay,0,66,44.04,32.73,7.54
labuhan,76,96,-2.54,74.71,2.73
merauke,56,100,-8.49,79.39,5.08
sorland,0,100,67.67,33.0,8.77
owensboro,1,40,37.77,54.18,2.62
kota tinggi,75,100,1.73,77.47,7.31
kimberley,8,56,-28.74,64.86,7.87
demmin,75,92,53.91,19.4,3.36
panama city,40,77,30.16,67.93,6.93
belaya gora,48,72,68.54,-16.06,3.29
kapit,80,94,2.02,73.99,2.84
lavrentiya,48,100,65.58,9.96,17.49
idrija,75,78,46.0,23.16,3.36
pringsewu,32,94,-5.36,74.31,2.06
sistranda,0,100,63.73,24.81,19.39
mogadishu,92,100,2.04,79.17,17.49
yulara,0,16,-25.24,86.0,6.93
ancud,36,68,-41.87,59.01,5.97
araouane,92,43,18.9,77.59,4.07
colonial heights,90,87,37.26,48.72,4.18
hobyo,64,89,5.35,75.66,13.8
oyama,20,55,36.31,39.2,5.82
wum,0,97,6.39,58.78,2.39
kangaba,0,61,11.94,77.41,3.62
karwar,0,46,14.8,62.83,2.95
panzhihua,68,43,26.59,59.73,6.2
kaoma,0,91,-14.8,65.4,3.74
randazzo,75,80,37.88,42.24,10.29
cherskiy,80,85,68.75,-2.38,8.77
baykit,56,72,61.68,-17.05,2.84
luganville,64,100,-15.51,83.53,3.29
buriti,24,81,-28.3,72.96,2.95
wentzville,1,50,38.81,52.72,3.4
ordzhonikidze,80,100,44.96,28.95,24.65
khorixas,0,73,-20.37,51.63,2.73
rio gallegos,0,28,-51.62,55.4,16.11
challapata,36,80,-18.9,41.01,1.95
dingle,32,85,11.0,78.13,10.78
nazca,8,65,-14.83,69.45,2.51
bastia,0,39,44.6,30.2,5.82
beringovskiy,44,100,63.05,5.91,17.16
waingapu,24,91,-9.65,76.47,3.96
geraldton,75,79,49.72,24.8,8.05
aasiaat,0,100,68.71,6.54,14.47
khani,0,61,41.96,48.2,21.92
rockhampton,75,79,-23.38,86.0,5.82
port blair,36,96,11.67,84.03,7.76
shiyan,100,96,32.65,40.06,2.17
talcahuano,0,77,-36.72,64.4,12.75
joson,20,93,15.93,68.1,2.95
acapulco,20,69,16.86,82.4,6.93
tamworth,0,47,-31.09,77.0,11.41
cockburn town,56,100,21.46,74.85,17.72
mackay,20,27,53.65,36.5,11.41
batagay-alyta,0,56,67.8,-33.61,2.62
amapa,20,78,15.09,80.6,16.11
jinchang,36,70,38.52,20.98,4.18
nanchang,80,86,28.68,43.66,0.38
brigantine,1,75,39.41,44.2,3.36
naze,20,94,5.43,73.4,3.06
ternate,40,83,14.29,80.6,19.28
ketchikan,90,93,55.34,37.4,17.22
vila,90,100,45.18,22.42,6.93
hay river,75,48,60.82,19.4,4.7
vanimo,32,100,-2.67,81.64,6.76
conceicao do araguaia,0,92,-8.26,76.2,4.74
sabancuy,20,83,18.97,82.18,15.82
shimoda,75,70,34.7,46.4,8.05
knysna,0,48,-34.04,60.8,3.36
temyasovo,90,85,52.99,12.2,11.18
pacifica,40,53,37.61,51.49,24.16
eyl,80,100,7.98,74.08,12.8
jieshi,48,100,22.82,59.73,16.49
trapani,40,93,38.02,43.81,5.82
chulym,20,66,55.09,-14.62,2.95
mbuji-mayi,76,99,-6.13,71.07,2.84
sivaki,0,46,52.63,-15.61,2.62
dryden,75,86,49.79,26.6,5.82
bloemfontein,0,82,-29.12,62.6,2.24
karratha,0,48,-20.74,78.54,8.99
hornepayne,0,68,49.22,26.56,8.1
leh,56,77,34.16,-6.11,0.6
concarneau,0,53,47.88,27.86,8.05
rincon,90,100,32.3,62.6,5.64
jimenez,20,62,8.54,86.0,6.93
tura,88,96,25.52,61.48,4.52
fort nelson,90,73,58.81,21.2,4.18
calamar,68,74,1.96,79.17,2.17
muravlenko,44,59,63.79,-20.29,8.1
homer,90,95,59.64,32.0,14.99
krasnyy bogatyr,44,62,56.01,-7.42,3.18
te anau,88,81,-45.41,58.92,2.62
omboue,80,100,-1.57,81.46,4.97
gizo,40,82,31.8,59.0,16.11
marshall,1,57,39.39,48.24,4.7
keti bandar,0,93,24.14,75.57,5.41
roebourne,0,48,-20.77,78.54,8.99
praia,20,88,-20.25,69.8,6.93
bien hoa,40,78,10.95,77.0,6.93
aklavik,75,83,68.22,-1.92,2.24
atar,0,76,20.52,55.77,1.95
damavand,40,53,35.72,50.0,1.16
vagur,76,100,61.47,41.01,7.87
pitiquito,0,15,30.68,68.86,8.21
osinovo,0,66,62.87,-13.9,6.76
thunder bay,40,79,48.41,28.4,3.36
honiara,20,62,-9.43,89.6,6.93
mtwango,92,96,-9.02,64.77,5.64
norman wells,75,60,65.28,8.6,4.7
tokur,0,67,53.13,-10.75,3.74
liwale,56,97,-9.8,69.45,2.39
maragogi,44,97,-9.01,74.85,6.42
brody,68,79,50.08,3.84,7.65
sovetskaya gavan,0,88,48.97,12.03,6.64
smolenka,48,72,54.15,0.91,4.07
aripuana,68,82,-9.17,79.89,2.62
lakeside,5,48,32.86,61.21,9.17
vikulovo,36,60,55.07,-12.73,4.07
shaunavon,0,77,49.65,20.49,7.43
verkhnevilyuysk,12,75,63.45,-24.79,4.29
yumen,0,73,40.29,26.34,9.44
sechura,8,72,-5.56,79.39,15.37
gravdal,0,57,59.79,23.0,3.36
erdenet,64,71,49.03,7.71,4.29
orchard homes,90,74,46.86,28.4,10.29
flinders,40,64,-34.58,69.8,8.05
chingirlau,68,96,51.09,29.08,7.2
deputatskiy,44,54,69.3,-32.44,3.74
rio grande,56,92,-32.03,72.46,11.45
villa del rosario,40,65,7.83,80.6,2.24
talavera de la reina,80,70,39.96,32.23,2.62
bindura,64,100,-17.3,64.23,2.95
pangoa,64,94,-12.12,68.19,1.28
skibbereen,75,64,51.55,33.8,14.99
dromolaxia,20,100,34.88,56.34,11.41
aswan,0,17,24.09,73.4,5.82
artesia,1,10,32.84,63.9,20.8
rudsar,90,93,37.14,48.09,4.7
whyalla,0,20,-33.04,86.0,18.34
cayenne,0,83,4.94,77.0,4.7
faya,0,67,18.39,58.08,9.17
corning,1,38,42.14,37.96,8.05
bochil,40,45,17.0,84.2,17.22
manzanillo,64,100,20.34,74.44,6.64
miranda,20,57,3.25,77.0,11.41
monrovia,20,88,6.33,77.0,5.19
am timan,0,40,11.04,71.7,3.96
gibara,20,69,21.11,77.0,9.17
biltine,0,39,14.53,68.82,7.76
diamantino,20,90,-14.4,76.78,2.39
eureka,1,53,40.8,49.08,20.8
yate,75,79,51.54,26.87,11.41
kuytun,68,74,54.34,-0.62,2.95
solwezi,92,96,-12.18,63.42,3.4
yatou,75,100,3.63,71.6,3.36
san andres,92,100,13.32,77.82,15.48
laizhou,44,85,37.18,33.81,4.18
okhotsk,44,78,59.36,11.31,5.97
esperance,40,73,10.24,77.0,3.36
goundam,0,50,16.42,76.38,6.53
zonguldak,92,92,41.25,44.79,1.16
itarema,88,98,-2.92,74.4,2.62
ust-kulom,0,74,61.69,-16.64,5.86
raudeberg,64,99,61.99,32.0,10.29
mahina,0,55,13.76,75.84,6.64
buncrana,36,94,55.14,33.04,8.66
necochea,0,71,-38.55,67.47,10.67
taguatinga,40,73,-15.83,75.2,4.7
ligayan,76,100,4.65,81.15,8.32
fortuna,20,81,38.18,53.6,6.93
